key|text
title|MVC Application
leyenda_menu|Menu - Navigation bar
saludo1|Welcome to the international website.
saludo2|Welcome on the application following the MVC pattern.
Saludo|Greeting
Inicio|Home
Revista|Magazine
Libros|Books
h1#titulo|Application following the MVC pattern
Autor|Author
Fecha última actualización|Last Updated
Español|Spanish
Inglés|English
Contactar|Contact
inicio.index.p1|Wellcome to my Library.
inicio.index.p2|Click the button to see my books.
aquí|here
libros.index.h1|Last books I have read
